"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05321","Inflammatory bowel disease (IBD)","20/717","65/7991",5.12970830331389e-07,7.32149276018437e-06,5.79239789273721e-06,"3127/3123/3553/7124/3561/3119/3552/3109/3594/7040/3115/2625/8807/3458/3122/3111/3108/7097/64127/6775",20
"hsa04612","Antigen processing and presentation","22/717","78/7991",7.46689583883744e-07,1.01939360582389e-05,8.0649309746711e-06,"3127/1520/3123/10437/4261/7124/3119/3109/3115/3458/3122/3135/3306/3111/2923/3108/3824/6890/3106/920/926/3107",22
"hsa05152","Tuberculosis","37/717","179/7991",9.68608269549732e-07,1.26726248599423e-05,1.00259452462165e-05,"3127/1520/3123/3929/3553/4261/1509/7124/3119/3552/3587/3687/2207/3109/26253/64581/843/7040/3689/3115/3458/6850/2213/2212/3122/3111/54106/3108/7097/64127/22925/11151/245972/5600/64170/5599/3656",37
"hsa05142","Chagas disease (American trypanosomiasis)","25/717","102/7991",2.3651359889445e-06,2.97061080211429e-05,2.35019828796169e-05,"6348/5054/6349/915/3553/5330/2770/7124/6352/916/917/7040/919/3458/5293/2353/2767/3576/54106/7097/5600/714/6347/5599/5290",25
"hsa04664","Fc epsilon RI signaling pathway","19/717","67/7991",3.88305742654996e-06,4.68953858437187e-05,3.71012774358619e-05,"3937/7124/4067/2207/5880/7410/5321/241/3635/695/5293/6850/240/7409/27040/5336/5600/5599/5290",19
"hsa05150","Staphylococcus aureus infection","23/717","93/7991",5.07297583048415e-06,5.89968300285935e-05,4.66753331771642e-05,"3127/3123/2357/3683/3119/2204/3109/3689/3115/6404/2358/728/3383/2359/2213/2212/3122/3111/3108/5724/3860/714/1669",23
"hsa05320","Autoimmune thyroid disease","16/717","52/7991",7.09817653629471e-06,7.96009797284478e-05,6.29763031039681e-05,"3127/3123/941/3119/1493/942/3109/3115/3122/3135/3111/3108/3106/5551/3002/3107",16
"hsa05166","Human T-cell leukemia virus 1 infection","40/717","219/7991",9.1658094584925e-06,9.92435920678154e-05,7.85165528930755e-05,"3127/3123/915/291/7538/3683/7124/3561/3119/115650/916/90993/3109/917/7040/3689/3115/3383/3554/8697/1958/5293/2353/3718/3122/3135/1871/3932/3111/5971/3108/3106/920/2224/196883/3601/7850/5599/3107/5290",40
"hsa04660","T cell receptor signaling pathway","24/717","103/7991",9.61067459494253e-06,0.000100591727427065,7.95831299791732e-05,"915/3937/5788/5777/7124/916/1493/917/7410/919/3458/5293/2353/5133/3932/29851/7409/27040/5058/5600/920/926/5599/5290",24
"hsa05144","Malaria","15/717","50/7991",1.92859903450742e-05,0.000195348418333978,0.000154549871695671,"3553/3820/4233/3683/7124/948/7060/7040/3689/3383/3458/3576/54106/7097/6347",15
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection","18/717","70/7991",3.04634435780949e-05,0.000297254800738283,0.000235173090761766,"83700/4233/2920/6352/4067/5803/1956/3579/2921/3576/525/5058/5336/1839/245972/5600/3577/5599",18
"hsa05310","Asthma","11/717","30/7991",3.12401542177176e-05,0.000297254800738283,0.000235173090761766,"3127/3123/7124/3119/2207/3109/3115/3122/3111/6037/3108",11
"hsa04620","Toll-like receptor signaling pathway","23/717","104/7991",3.60304290083993e-05,0.00033275160907757,0.000263256385324527,"6348/6349/3929/3553/23643/941/7124/6352/6351/51311/942/1513/5293/2353/3455/3576/54106/7097/4283/5600/6696/5599/5290",23
"hsa04668","TNF signaling pathway","24/717","112/7991",4.23996925698366e-05,0.00036981954074802,0.000292582673873727,"6374/6364/3553/7128/2920/7124/6352/90993/843/4323/3383/2921/5293/2353/330/197259/11035/7424/64127/5600/6347/3726/5599/5290",24
"hsa05145","Toxoplasmosis","24/717","112/7991",4.23996925698366e-05,0.00036981954074802,0.000292582673873727,"3127/3123/4261/23643/2770/7124/3119/3587/3908/3109/7040/3115/3458/3122/3306/330/3111/240/3108/7097/5600/5294/23533/5599",24
"hsa04611","Platelet activation","25/717","124/7991",8.56061283585544e-05,0.000726495251475299,0.000574766608609355,"5330/3673/3937/8673/54518/2770/4067/2207/5321/2909/7450/9138/695/5293/6850/2212/5028/3690/83706/5336/5600/5294/23533/196883/5290",25
"hsa05163","Human cytomegalovirus infection","38/717","225/7991",9.14792312983903e-05,0.000755907332307751,0.000598035971922995,"6348/6349/3553/7852/5330/2770/7124/6352/6351/3587/90993/5880/5733/1956/3579/1230/5579/4193/3554/2185/9138/5293/2767/3576/3690/3135/1871/2923/6890/5734/3106/5600/6347/55970/5156/196883/3107/5290",38
"hsa04015","Rap1 signaling pathway","36/717","210/7991",0.00010192472248339,0.000820624688712424,0.000649237098679625,"2357/5330/3937/54518/4233/3683/2770/2533/8631/5880/4254/7410/3689/26037/1956/2260/5579/56288/5293/9693/7074/9863/5028/3690/2903/7409/4804/27040/7424/84552/2321/5600/84612/5156/196883/5290",36
"hsa04666","Fc gamma R-mediated phagocytosis","20/717","92/7991",0.000147527454622851,0.00115809051878938,0.000916223139236655,"3055/5788/1794/7454/4067/5880/7410/5321/3635/5579/85477/5293/6850/2213/2212/7409/27040/5058/5336/5290",20
"hsa04670","Leukocyte transendothelial migration","22/717","113/7991",0.000376782769327841,0.00288560462363273,0.0022829456626796,"7852/1536/394/83700/3683/2770/4688/5880/7410/3689/2909/5579/3383/2185/4689/5293/1366/7409/5336/5600/399/5290",22
"hsa04933","AGE-RAGE signaling pathway in diabetic complications","20/717","100/7991",0.000476790195847175,0.00356457432133364,0.0028201124365898,"5054/3553/5330/1536/7124/3552/5333/7040/5579/3383/1958/5293/3576/84812/7424/5336/5600/6347/5599/5290",20
"hsa04360","Axon guidance","30/717","180/7991",0.000617673511797185,0.00440794278873446,0.00348734327234774,"9723/7852/10154/4233/2770/29984/219699/2044/5880/6586/2042/56288/5293/84448/9037/6091/1630/5365/655/658/10507/1947/5058/84552/5336/2045/7220/7223/84612/5290",30
"hsa04621","NOD-like receptor signaling pathway","30/717","180/7991",0.000617673511797185,0.00440794278873446,0.00348734327234774,"115362/3553/5330/1536/7128/2633/2920/7124/6352/4210/9447/388646/2921/3455/3576/114769/330/10135/11035/54822/834/64127/440068/29108/4671/5600/6347/64170/5599/1669",30
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","18/717","88/7991",0.000681343871234563,0.00475426612372562,0.00376133692658145,"915/5777/916/917/919/1956/3458/5293/2353/5133/3932/54106/27040/7097/5600/920/29126/5290",18
"hsa05135","Yersinia infection","22/717","120/7991",0.000887809704804551,0.00606026624583976,0.00479457872617561,"3553/3937/7124/7454/4210/2533/5880/7410/2185/9138/5293/2353/3576/3932/7409/27040/834/29108/5600/6347/5599/5290",22
"hsa05133","Pertussis","16/717","76/7991",0.000961169174087169,0.00642142809922066,0.00508031187199489,"6374/3553/23643/2770/7124/3552/3689/3394/2353/3576/834/722/29108/5600/714/5599",16
"hsa04928","Parathyroid hormone synthesis, secretion and action","20/717","106/7991",0.00103511106628186,0.00677135155859383,0.00535715376409033,"5330/2770/9365/1591/4929/90993/409/1956/2260/5579/4323/2625/9138/1958/2353/2767/4322/1839/196883/5744",20
"hsa05134","Legionellosis","13/717","57/7991",0.00130409168614897,0.00835683243777093,0.00661150672247382,"3553/2920/7124/3689/664/2921/3576/3306/1917/7097/834/29108/4671",13
"hsa04657","IL-17 signaling pathway","18/717","93/7991",0.00134020418618172,0.00841648228922122,0.00665869869345025,"6374/6364/3553/7128/6280/2920/7124/6279/6354/3458/2921/2353/3576/5597/4322/5600/6347/5599",18
"hsa05164","Influenza A","27/717","169/7991",0.00215163173455641,0.0132473012676611,0.0104806003994905,"3127/3123/3553/291/4261/7124/6352/3119/3552/3109/5644/3115/5579/3383/3458/5293/3455/3576/3122/3111/3108/834/29108/8743/6347/2224/5290",27
"hsa05205","Proteoglycans in cancer","31/717","205/7991",0.00256909893419552,0.0155134051026422,0.012273428106683,"5328/3673/2719/4233/406991/5777/7124/5329/3059/7410/7040/1956/2260/5579/4193/9138/5293/7074/2066/3690/288/7409/7097/960/5058/5336/1839/5600/7291/10818/5290",31
"hsa05418","Fluid shear stress and atherosclerosis","23/717","139/7991",0.00282326743468537,0.0167265278205888,0.0132331899619811,"3553/7124/3552/4688/1843/2949/652/5880/3383/3554/3458/5293/2353/3690/657/3162/658/4259/5600/6347/7850/5599/5290",23
"hsa04964","Proximal tubule bicarbonate reclamation","7/717","23/7991",0.00309882388672667,0.0180190870450403,0.014255797997417,"481/760/482/477/2747/8671/478",7
"hsa04972","Pancreatic secretion","18/717","102/7991",0.00388307267066955,0.0221688148834589,0.0175388545507754,"26279/1359/5330/481/6558/5644/760/482/5579/477/490/8671/81579/7220/885/196883/478/952",18
"hsa04960","Aldosterone-regulated sodium reabsorption","9/717","37/7991",0.00448664378116043,0.0251572526300781,0.0199031566231929,"481/3667/482/5579/477/5293/478/23327/5290",9
"hsa04625","C-type lectin receptor signaling pathway","18/717","104/7991",0.00480348625194484,0.0264613102300119,0.0209348615966571,"3553/7124/338339/2207/26253/64581/4193/5293/6850/5971/834/5058/29108/5336/5600/64170/5599/5290",18
"hsa04971","Gastric acid secretion","14/717","76/7991",0.00699160332691703,0.0378510938733094,0.0299458872078479,"5330/3759/2770/481/760/482/54207/5579/477/3772/3766/3773/196883/478",14
"hsa05322","Systemic lupus erythematosus","21/717","133/7991",0.00731458440979059,0.0389284661809194,0.0307982501464867,"3127/3123/941/7124/3119/942/3109/3115/3458/2212/3122/8368/2903/3111/8354/3108/8345/6634/85236/714/6738",21
"hsa05146","Amoebiasis","17/717","101/7991",0.0080160131264013,0.0419504686948335,0.0331891069794861,"3553/5330/2920/7124/3908/7040/3689/5579/3554/3458/2921/5293/2767/3576/7097/7850/5290",17
