"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"102","16665588","ROR1","4919","receptor tyrosine kinase like orphan receptor 1",-0.725423415079655,5.08846092763155,-2.26875434422058,0.0422532676159188,0.107971456665144,-4.64011873365895
"103","16665654","MIR4794","100616338","microRNA 4794",0.49374159891045,1.8113263019055,1.4607662127751,0.169418883459504,0.300884278856555,-5.88392307500305
"104","16665656","RAVER2","55225","ribonucleoprotein, PTB binding 2",-1.12419389953736,7.09556971479233,-5.43533327277528,0.000144034482218504,0.00183671878487937,1.02761212084686
"105","16665796","SGIP1","84251","SH3GL interacting endocytic adaptor 1",-0.0324925865720749,4.28618360324996,-0.153546060352567,0.880485075428728,0.931745222952884,-6.92446615419313
"106","16666055","CTH","1491","cystathionine gamma-lyase",-0.648734263602617,4.34964797588261,-2.09539923603556,0.0577075055925222,0.137012487033009,-4.93048732151067
"107","16666112","LOC105378797","105378797","uncharacterized LOC105378797",-0.15549666802372,1.71878024220422,-0.470215150363039,0.646518313962481,0.768718920468581,-6.81963508514345
"108","16666204","TYW3","127253","tRNA-yW synthesizing protein 3 homolog",-0.603588003954539,7.63565934214081,-4.29805319626012,0.00100398515499983,0.00712645341952415,-0.948468186042792
"109","16666224","LHX8","431707","LIM homeobox 8",-0.792137470454503,6.79790183002779,-4.24884345297156,0.00109609539301665,0.00752065452142813,-1.03738745323564
"110","16666336","ST6GALNAC5","81849","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",-0.680238426974896,5.27031739889966,-3.13595288024879,0.00846714319787419,0.0318546610874855,-3.08625405958713
"111","16666392","MIGA1","374986","mitoguardin 1",-0.58737604700953,6.75036961363238,-3.70347349498757,0.0029498807562364,0.0147718534064197,-2.03583592796797
"112","16666437","DNAJB4","11080","DnaJ heat shock protein family (Hsp40) member B4",-0.0427454670758083,5.97920646053555,-0.25459283175172,0.803289918862372,0.88270669106787,-6.90243772278798
"113","16666537","LINC01781","101927412","long intergenic non-protein coding RNA 1781",1.2863632602631,1.62559702533655,4.59562600596094,0.000594183226449702,0.0048688986675455,-0.416107331335294
"114","16666545","ADGRL2","23266","adhesion G protein-coupled receptor L2",-0.242424087420885,6.86760220091481,-1.57429094624919,0.141052850686875,0.264329650109213,-5.72890632705869
"115","16666603","LINC01712","101927542","long intergenic non-protein coding RNA 1712",0.0593918028852416,3.15129708418793,0.169179055011586,0.86843606561833,0.924835350138208,-6.92176730996475
"116","16666681","SPATA1","100505741","spermatogenesis associated 1",-0.0188264905465081,4.92407845856419,-0.0795317809252057,0.937902863166607,0.963415167116706,-6.93370292983297
"117","16666725","LOC105378821","105378821","uncharacterized LOC105378821",0.770476969078434,2.55801874389358,3.34374788008656,0.00574507509433646,0.0236413971987079,-2.70188544298839
"118","16666738","CCN1","3491","cellular communication network factor 1",1.52697325218603,6.48195281102572,8.40670450601923,2.05124749800134e-06,0.000116355246007317,5.34671024713411
"119","16666851","HS2ST1","9653","heparan sulfate 2-O-sulfotransferase 1",-0.565329665995991,8.51166965510713,-3.99175317845455,0.00174148903307081,0.0102504617472414,-1.50543596827973
"120","16666881","LMO4","8543","LIM domain only 4",-0.284682035619232,5.90894875462461,-1.33469670312803,0.206415910815177,0.347458862410812,-6.04643577099737
"121","16666943","GBP6","163351","guanylate binding protein family member 6",-0.13995531164585,2.89012530412749,-0.359759735130527,0.725194175803317,0.826934692866132,-6.86807759775428
"122","16666977","LRRC8C","84230","leucine rich repeat containing 8 VRAC subunit C",0.577312955025886,2.36466622935938,1.93623289268868,0.0764143720185961,0.169523455118801,-5.18750797636997
"123","16667037","CDC7","8317","cell division cycle 7",-0.340863214595267,3.72877828105867,-1.58188924050607,0.139309760633586,0.262052094044882,-5.71825452186651
"124","16667119","KIAA1107","23285","KIAA1107",-1.10909066822149,5.70667016849541,-5.69444107679549,9.48725276033689e-05,0.00138417124529971,1.45364576747234
"125","16667175","SNORA66","26782","small nucleolar RNA, H/ACA box 66",0.0927797729080666,4.67855896149787,0.220294454647341,0.829295105580123,0.899352233084455,-6.91112871317216
"126","16667258","FNBP1L","54874","formin binding protein 1 like",-0.709897222506267,7.73016173403644,-4.5379307317327,0.000657225354938739,0.00525460854859891,-0.518567783810098
"127","16667277","BCAR3-AS1","100129046","BCAR3 antisense RNA 1",-0.10730295268527,3.37972849247797,-0.383550685947806,0.707929743900133,0.812942994504555,-6.85870476697433
"128","16667286","MIR760","100126348","microRNA 760",0.524912244181461,3.59682722241648,1.61902066169581,0.131057992831455,0.250442834045841,-5.66572202091601
"129","16667368","LOC729970","729970","hCG2028352-like",-0.534256869868287,6.74664407575999,-3.44800583867579,0.00473204847801469,0.0204176255641552,-2.50870091572297
"130","16667481","DPYD-AS1","100873932","DPYD antisense RNA 1",-0.0492847586546845,3.76195220577331,-0.193285091024254,0.84992493609406,0.914555368683388,-6.91709592057305
"131","16667530","PALMD","54873","palmdelphin",0.15454172456315,7.301335362082,0.835516839230796,0.419532660766859,0.577153440904439,-6.57328939603717
"132","16667733","SLC30A7","148867","solute carrier family 30 member 7",1.14844043671481,3.80220258664434,4.10494095301828,0.00141909625680664,0.00890971222856132,-1.29868961044329
"133","16667752","LOC101928334","101928334","uncharacterized LOC101928334",-0.579967899415494,2.86817191710215,-1.97761090104832,0.0710753239969526,0.160053262114972,-5.12166665543898
"134","16667783","DNAJA1P5","94236","DnaJ heat shock protein family (Hsp40) member A1 pseudogene 5",-0.498760920391004,2.37782571180636,-1.82819155423032,0.0921315880930807,0.194880161718994,-5.35589831360238
"135","16668079","GPSM2","29899","G protein signaling modulator 2",-0.346126170344633,3.43515074972751,-2.39545714884158,0.0335404109640867,0.0902272707046977,-4.42210640584984
"136","16668109","SCARNA2","677766","small Cajal body-specific RNA 2",0.868598150840911,8.25647792592195,3.74649503697945,0.00272548719088281,0.0138805771795734,-1.95639993426684
"137","16668111","KIAA1324","57535","KIAA1324",-1.5092750372233,6.76328496719697,-11.2087688275326,9.02156145433599e-08,2.64480651628584e-05,8.4412447889325
"138","16668250","CYB561D1","284613","cytochrome b561 family member D1",-0.374339982306103,4.40029388389062,-0.932170212780629,0.369378419789115,0.529638265899406,-6.48728754225102
"139","16668288","AMPD2","271","adenosine monophosphate deaminase 2",-0.640491284083384,6.62060575261974,-3.65311891887329,0.00323670046675279,0.0156992017335973,-2.12890540111389
"140","16668397","GSTM5","2949","glutathione S-transferase mu 5",-1.00196152573859,6.99155788090831,-6.17173140016078,4.50630086507127e-05,0.000874674327202623,2.21318463746215
"141","16668505","LINC01397","104355139","long intergenic non-protein coding RNA 1397",0.464535304740462,3.19061576587125,1.4537114284541,0.171331168967434,0.302890674853766,-5.89329261407682
"142","16668517","SLC6A17","388662","solute carrier family 6 member 17",-0.848193721441262,2.78480831410316,-2.27638962845187,0.0416721398528895,0.10695042756494,-4.62710943230634
"143","16668582","CD53","963","CD53 molecule",1.56381337877157,7.79727552026632,8.44371236264257,1.95870702375912e-06,0.000114738302552924,5.39312298660614
"144","16668677","PIFO","128344","primary cilia formation",-0.954843740785641,5.28877115609931,-3.78813098850478,0.00252495786975348,0.0132206582432971,-1.87960246322885
"145","16668702","C1orf162","128346","chromosome 1 open reading frame 162",0.94522295876143,6.34721002553934,5.84685781932683,7.45403164387853e-05,0.00120806719745617,1.6997666195117
"146","16668761","LINC01750","643355","long intergenic non-protein coding RNA 1750",0.587459762479972,2.85974745930124,2.16554780647598,0.0509028648374304,0.124652344856826,-4.81419267882855
"147","16668861","TAFA3","284467","TAFA chemokine like family member 3",-0.439675494106369,2.19292877367998,-1.45496002869344,0.170991400524702,0.302726125938364,-5.89163664629305
"148","16668919","MAGI3","260425","membrane associated guanylate kinase, WW and PDZ domain containing 3",-0.205900525668988,4.8748059032093,-0.877187760017884,0.397375329370122,0.556669094728885,-6.53722459938112
"149","16669058","LINC01765","105378916","long intergenic non-protein coding RNA 1765",0.626337833141846,2.63768339538346,1.64029714617467,0.126524557548751,0.244072585362293,-5.63526824539334
"150","16669087","SLC22A15","55356","solute carrier family 22 member 15",0.567525877134836,3.75798033024017,2.22713541384103,0.0455588032167918,0.114070367262744,-4.71072064883582
"151","16669161","MIR320B1","100302117","microRNA 320b-1",0.718256408404909,2.36655245773092,2.69659814782051,0.0192305397150021,0.059407019401274,-3.88877149486434
"152","16669169","CD2","914","CD2 molecule",1.57333458351227,5.52686942883989,6.33749634219554,3.50538525012412e-05,0.000755458886892731,2.46928402316366
"153","16669278","TENT5C","54855","terminal nucleotidyltransferase 5C",1.01938852764654,7.64940449006308,4.15295187528017,0.00130160358569999,0.00838018746957526,-1.21130700291108
"154","16669321","LOC105378930","105378930","uncharacterized LOC105378930",-0.159094325612863,1.82546775732098,-0.528926474135403,0.606371844448087,0.737046127072593,-6.78882729441235
"155","16669324","WARS2-AS1","101929147","WARS2 antisense RNA 1",0.248823570218025,3.53016490577142,0.860264731336306,0.406276336026381,0.565298856217717,-6.55205815482992
"156","16669414","LOC105378938","105378938","uncharacterized LOC105378938",0.182692134244768,5.94417202232273,0.633310402102836,0.538253998369054,0.682410656891787,-6.72557493663628
"157","16669422","FAM72B","653820","family with sequence similarity 72 member B",0.892676302053976,4.40335952159433,1.98340679500461,0.0703555479898002,0.158723224711249,-5.11238734331895
"158","16669454","EMBP1","647121","embigin pseudogene 1",-0.0231675118146324,4.28355087340093,-0.0659688391586231,0.948474272528737,0.969164182188909,-6.93476040107445
"159","16669566","RNVU1-3","101954272","RNA, variant U1 small nuclear 3",-0.37017777034503,3.98424949596299,-0.941624204055663,0.364706779119869,0.524763425760629,-6.47843567895479
"160","16669785","RNVU1-6","101954276","RNA, variant U1 small nuclear 6",0.24152274051927,2.09862281826494,0.612092329380649,0.551744506573083,0.692147567628138,-6.73929957178563
"161","16669814","ANKRD34A","284615","ankyrin repeat domain 34A",0.0369139367880882,4.42249318536054,0.138738852289259,0.891926510655284,0.937819821046944,-6.92678222035112
"162","16669821","LIX1L","128077","limb and CNS expressed 1 like",-0.445224226962155,6.61700232083127,-2.56229048899541,0.0246707608305752,0.0723089560201268,-4.12892238783401
"163","16669850","ITGA10","8515","integrin subunit alpha 10",-0.535594545715139,7.11885924973342,-2.51478859244685,0.0269333934442563,0.0769859812611671,-4.21303131666547
"164","16669905","PIAS3","10401","protein inhibitor of activated STAT 3",-0.310654426750737,6.94939150599474,-2.08123763528527,0.0591807976770105,0.139338879028696,-4.95375217403963
"165","16669930","RNF115","27246","ring finger protein 115",-0.559651460391083,7.82640036136942,-4.13652874553896,0.00134061903370995,0.00855603612202861,-1.24117594880557
"166","16669944","PDZK1","5174","PDZ domain containing 1",0.153941930989702,3.51847505225844,0.423494423034089,0.679324905948631,0.792573970499436,-6.84165387413804
"167","16669979","LOC105371288","105371288","uncharacterized LOC105371288",-0.182892030708551,5.81898759651468,-0.680598006856212,0.508871469587376,0.657033768003712,-6.69341948887411
"168","16670079","PDIA3P1","171423","protein disulfide isomerase family A member 3 pseudogene 1",-1.26528329564734,6.45926086306566,-3.52213684178871,0.004123819416008,0.0183641347673864,-2.37135133691835
"169","16670199","LOC100132057","100132057","phosphodiesterase 4D interacting protein pseudogene",0.0397191348582808,6.10618830392358,0.139547180622711,0.891301240424181,0.937496527455317,-6.92666182093663
